area_code,sales,cogs,total_expenses,inventory,budget_profit,budget_cogs,productid,week,month,year,weekday,state,market,product
203,292.0,116.0,69.0,962.0,110.0,110.0,2,13,4,2010,3,Connecticut,East,Columbian
203,225.0,90.0,60.0,1148.0,90.0,80.0,2,26,7,2010,3,Connecticut,East,Columbian
203,325.0,130.0,73.0,1134.0,130.0,110.0,2,44,11,2010,0,Connecticut,East,Columbian
203,289.0,115.0,69.0,1166.0,110.0,100.0,2,48,12,2010,2,Connecticut,East,Columbian
203,223.0,90.0,56.0,1148.0,90.0,80.0,2,26,7,2011,4,Connecticut,East,Columbian
203,223.0,90.0,56.0,1139.0,90.0,80.0,2,31,8,2011,0,Connecticut,East,Columbian
203,275.0,103.0,64.0,1130.0,110.0,90.0,2,35,9,2011,3,Connecticut,East,Columbian
203,334.0,125.0,73.0,1119.0,130.0,100.0,2,39,10,2011,5,Connecticut,East,Columbian
203,346.0,130.0,73.0,1134.0,130.0,110.0,2,44,11,2011,1,Connecticut,East,Columbian
203,51.0,20.0,16.0,804.0,20.0,20.0,13,22,6,2010,1,Connecticut,East,Green Tea
203,90.0,36.0,21.0,809.0,40.0,30.0,13,44,11,2010,0,Connecticut,East,Green Tea
203,47.0,19.0,15.0,811.0,20.0,20.0,13,31,8,2011,0,Connecticut,East,Green Tea
203,64.0,24.0,18.0,806.0,40.0,20.0,13,39,10,2011,5,Connecticut,East,Green Tea
203,96.0,36.0,21.0,809.0,40.0,30.0,13,44,11,2011,1,Connecticut,East,Green Tea
203,128.0,53.0,77.0,597.0,10.0,50.0,5,22,6,2010,1,Connecticut,East,Caffe Mocha
203,144.0,60.0,83.0,606.0,40.0,40.0,5,39,10,2010,4,Connecticut,East,Caffe Mocha
203,147.0,61.0,84.0,613.0,10.0,60.0,5,44,11,2010,0,Connecticut,East,Caffe Mocha
203,201.0,75.0,103.0,522.0,20.0,70.0,5,52,1,2011,5,Connecticut,East,Caffe Mocha
203,165.0,65.0,87.0,513.0,20.0,60.0,5,5,2,2011,1,Connecticut,East,Caffe Mocha
203,160.0,63.0,87.0,506.0,10.0,60.0,5,9,3,2011,1,Connecticut,East,Caffe Mocha
203,160.0,63.0,87.0,521.0,10.0,60.0,5,13,4,2011,4,Connecticut,East,Caffe Mocha
203,153.0,64.0,81.0,551.0,20.0,60.0,5,17,5,2011,6,Connecticut,East,Caffe Mocha
203,159.0,62.0,85.0,612.0,20.0,50.0,5,35,9,2011,3,Connecticut,East,Caffe Mocha
203,140.0,55.0,78.0,627.0,10.0,50.0,5,48,12,2011,3,Connecticut,East,Caffe Mocha
203,130.0,55.0,46.0,305.0,40.0,50.0,6,5,2,2010,0,Connecticut,East,Decaf Espresso
203,113.0,48.0,43.0,334.0,40.0,40.0,6,17,5,2010,5,Connecticut,East,Decaf Espresso
203,100.0,43.0,41.0,388.0,20.0,40.0,6,26,7,2010,3,Connecticut,East,Decaf Espresso
203,98.0,42.0,40.0,384.0,20.0,40.0,6,30,8,2010,6,Connecticut,East,Decaf Espresso
203,145.0,55.0,47.0,312.0,40.0,50.0,6,52,1,2011,5,Connecticut,East,Decaf Espresso
203,132.0,53.0,45.0,299.0,40.0,50.0,6,9,3,2011,1,Connecticut,East,Decaf Espresso
203,97.0,42.0,37.0,384.0,20.0,40.0,6,31,8,2011,0,Connecticut,East,Decaf Espresso
203,118.0,47.0,43.0,375.0,50.0,30.0,6,39,10,2011,5,Connecticut,East,Decaf Espresso
203,132.0,53.0,45.0,380.0,40.0,50.0,6,44,11,2011,1,Connecticut,East,Decaf Espresso
203,121.0,49.0,44.0,392.0,40.0,40.0,6,48,12,2011,3,Connecticut,East,Decaf Espresso
203,189.0,85.0,65.0,476.0,40.0,60.0,9,9,3,2010,0,Connecticut,East,Lemon
203,169.0,76.0,61.0,580.0,40.0,50.0,9,22,6,2010,1,Connecticut,East,Lemon
203,190.0,80.0,64.0,494.0,30.0,60.0,9,13,4,2011,4,Connecticut,East,Lemon
203,160.0,67.0,59.0,599.0,20.0,50.0,9,35,9,2011,3,Connecticut,East,Lemon
203,189.0,79.0,64.0,593.0,30.0,40.0,9,39,10,2011,5,Connecticut,East,Lemon
203,163.0,74.0,43.0,949.0,50.0,50.0,10,9,3,2010,0,Connecticut,East,Mint
203,176.0,75.0,44.0,956.0,50.0,50.0,10,5,2,2011,1,Connecticut,East,Mint
203,147.0,68.0,39.0,998.0,40.0,50.0,10,17,5,2011,6,Connecticut,East,Mint
203,145.0,62.0,41.0,1059.0,40.0,40.0,10,35,9,2011,3,Connecticut,East,Mint
203,151.0,65.0,42.0,1053.0,50.0,30.0,10,39,10,2011,5,Connecticut,East,Mint
203,148.0,63.0,40.0,1075.0,40.0,40.0,10,48,12,2011,3,Connecticut,East,Mint
203,115.0,47.0,25.0,821.0,60.0,40.0,11,13,4,2010,3,Connecticut,East,Darjeeling
203,87.0,35.0,20.0,894.0,50.0,30.0,11,26,7,2010,3,Connecticut,East,Darjeeling
203,83.0,34.0,21.0,890.0,40.0,30.0,11,30,8,2010,6,Connecticut,East,Darjeeling
203,108.0,44.0,23.0,886.0,50.0,40.0,11,35,9,2010,2,Connecticut,East,Darjeeling
203,91.0,37.0,20.0,876.0,40.0,30.0,11,22,6,2011,2,Connecticut,East,Darjeeling
206,130.0,53.0,39.0,338.0,70.0,60.0,2,53,1,2010,4,Washington,West,Columbian
206,150.0,61.0,41.0,325.0,80.0,70.0,2,9,3,2010,0,Washington,West,Columbian
