latitude,longitude
41.82,-72.31
48.45,-122.61
33.95,-118.41
31.49,-98.52
42.43,-76.5
32.82,-117.28
27.54,-99.43
41.14,-80.87
41.91,-87.64
42.43,-87.81
30.01,-90.21
39.14,-84.5
29.0,-80.91
46.66,-121.89
30.47,-99.78
43.04,-89.38
32.73,-96.76
39.71,-104.99
30.36,-84.33
42.02,-87.67
37.78,-122.43
41.11,-87.84
39.43,-93.38
40.79,-73.77
29.97,-90.23
41.59,-93.63
26.03,-80.14
34.4,-117.29
32.78,-96.8
39.15,-83.13
32.69,-92.22
42.32,-71.11
42.16,-74.53
42.34,-71.05
28.91,-81.31
47.4,-120.25
32.5,-98.51
30.43,-84.26
36.13,-97.12
30.04,-84.49
33.94,-118.43
29.44,-98.64
42.7,-71.44
43.06,-89.56
38.58,-90.42
41.37,-83.65
46.04,-118.38
29.44,-98.71
32.11,-97.03
40.72,-111.88
38.85,-82.3
33.23,-97.18
41.74,-72.71
45.53,-122.46
30.97,-93.03
35.17,-106.47
42.26,-71.14
47.04,-122.9
37.79,-122.41
30.4,-97.69
40.65,-80.6
42.75,-95.56
40.75,-73.11
33.87,-117.93
44.07,-123.1
33.68,-117.83
26.13,-80.4
41.63,-93.62
39.1,-84.56
38.57,-90.41
35.54,-97.51
46.12,-67.27
33.72,-117.79
40.83,-73.09
43.0,-87.92
41.4,-82.67
42.31,-71.08
41.76,-88.2
32.81,-117.27
34.05,-118.26
41.89,-87.81
40.9,-73.2
39.34,-98.47
40.67,-73.38
32.58,-117.03
38.79,-90.34
34.42,-119.67
33.84,-98.52
37.77,-122.3
39.79,-89.73
41.63,-91.55
29.78,-95.4
33.72,-118.31
43.02,-87.95
44.84,-73.52
40.83,-73.08
39.06,-108.56
38.91,-107.42
28.82,-81.89
29.26,-81.05
32.82,-117.27
39.79,-89.71
42.27,-71.17
36.81,-114.09
42.05,-72.67
26.13,-80.39
32.2,-110.82
37.49,-122.23
30.54,-97.67
41.78,-87.65
38.61,-90.51
30.64,-97.68
34.18,-119.0
30.27,-97.75
33.06,-96.71
40.93,-72.68
39.78,-89.67
25.91,-80.25
42.3,-71.09
34.41,-119.71
41.18,-73.21
26.13,-80.41
29.44,-98.54
37.8,-122.4
42.8,-73.94
32.54,-94.77
33.81,-118.38
34.01,-117.9
31.12,-97.33
43.01,-87.92
33.13,-117.19
33.33,-97.64
40.96,-81.49
26.02,-97.51
28.59,-81.37
32.82,-117.26
26.13,-80.42
29.21,-97.73
33.71,-117.79
40.15,-105.12
42.05,-123.11
29.58,-98.93
42.48,-70.89
30.26,-97.7
